# Warranty & Liability
# To the extent permitted by applicable law and unless explicitly
# otherwise agreed upon, XLOG Technologies GmbH makes no warranties
# regarding the provided information. XLOG Technologies GmbH assumes
# no liability that any problems might be solved with the information
# provided by XLOG Technologies GmbH.
#
# Rights & License
# All industrial property rights regarding the information - copyright
# and patent rights in particular - are the sole property of XLOG
# Technologies GmbH. If the company was not the originator of some
# excerpts, XLOG Technologies GmbH has at least obtained the right to
# reproduce, change and translate the information.
#
# Reproduction is restricted to the whole unaltered document. Reproduction
# of the information is only allowed for non-commercial uses. Selling,
# giving away or letting of the execution of the library is prohibited.
# The library can be distributed as part of your applications and libraries
# for execution provided this comment remains unchanged.
#
# Restrictions
# Only to be distributed with programs that add significant and primary
# functionality to the library. Not to be distributed with additional
# software intended to replace any components of the library.
#
# Trademarks
# Jekejeke is a registered trademark of XLOG Technologies GmbH.
public
# /3	arithmetic/ratio
repeat/0	runtime/logic
reset_callable_property/3	reflect/call
reset_oper_property/2	reflect/oper
retract/1	runtime/dynamic
retractall/1	runtime/dynamic
round/2	arithmetic/ratio
round/2	arithmetic/round
safe_term_variables/2	structure/vars
safe_term_variables/3	structure/vars
set_arg/4	structure/univ
set_callable_property/3	reflect/call
set_prolog_flag/2	bootload/engine
setup_balance/1	runtime/distributed
setup_balance/2	runtime/distributed
sign/2	arithmetic/elem
sign/2	arithmetic/ratio
sin/2	arithmetic/trigo
source_property/2	reflect/source
sqrt/2	arithmetic/trigo
(static)/1	reflect/pred
sub_atom/4	structure/atom
sub_atom/5	structure/atom
sys_activate_capability/2	bootload/toolkit
sys_add_file_extension/2	bootload/path
sys_add_path/1	bootload/path
sys_add_resource/1	bootload/module
sys_auto_load/1	bootload/module
sys_calc_install_id/2	bootload/toolkit
sys_capability_property/2	bootload/toolkit
sys_check_license/1	bootload/toolkit
sys_check_licenses/0	bootload/toolkit
sys_current_capability/1	bootload/toolkit
sys_current_file_extension/2	bootload/path
sys_current_path/1	bootload/path
sys_current_predicate/1	reflect/pred
sys_declaration_indicator/2	bootload/load
sys_declaration_indicator/2	bootload/module
sys_declaration_indicator/2	reflect/foreign
sys_declaration_indicator/2	reflect/oper
sys_declaration_indicator/2	reflect/pred
sys_declaration_indicator/2	runtime/dynamic
sys_declaration_indicator/2	runtime/meta
sys_error_message/1	runtime/session
sys_finit_capability/1	bootload/toolkit
sys_goal_globals/2	structure/vars
sys_goal_kernel/2	structure/vars
sys_indicator/1	reflect/pred
sys_init_capability/1	bootload/toolkit
sys_init_capability/2	bootload/toolkit
sys_listing_has_clause/2	bootload/load
sys_listing_user/1	bootload/load
sys_listing_user_chk/1	bootload/load
sys_load_resource/1	bootload/module
sys_make_indicator/3	reflect/pred
sys_make_oper/3	reflect/oper
(sys_notrace)/1	bootload/load
sys_number_variables/4	structure/vars
sys_pivot_add/2	runtime/collector
sys_pivot_collect/3	runtime/collector
sys_pivot_new/1	runtime/collector
sys_predicate_property_idx/2	reflect/pred
sys_provable_property_chk/3	reflect/pred
sys_provable_property_idx/2	reflect/pred
sys_quoted_var/2	runtime/session
sys_reg_license_text/2	bootload/toolkit
sys_reged_license_text/2	bootload/toolkit
sys_remove_file_extension/1	bootload/path
sys_replace_site/3	runtime/logic
sys_short_base/1	bootload/load
sys_show_base/1	bootload/load
sys_show_provable_source/2	bootload/load
sys_syntax_property_chk/3	reflect/oper
sys_syntax_property_idx/2	reflect/oper
sys_term_singletons/2	structure/vars
tan/2	arithmetic/trigo
term_atom/2	structure/bytes
term_atom/3	structure/bytes
term_block/2	structure/bytes
term_block/3	structure/bytes
term_variables/2	structure/vars
term_variables/3	structure/vars
(thread_local)/1	runtime/dynamic
top_module/1	bootload/engine
truncate/2	arithmetic/ratio
truncate/2	arithmetic/round
unify_with_occurs_check/2	structure/univ
unload_file/1	bootload/load
use_module/1	bootload/module
use_package/1	bootload/module
var/1	runtime/quali
version/0	bootload/engine
welcome/0	bootload/engine
write_block/1	structure/bytes
write_block/2	structure/bytes
xor/3	arithmetic/bits

